creative_id,creative_name,period,channel,campaign,spend,impressions,clicks,installs,payers,high_value_players,revenue_d7,predicted_ltv_d30,thumbnail,text_hook,visual_motif,hero_archetype,art_style
cr_001,Neon Ronin Ascension,history,TikTok,Soft Launch SEA,14000,680000,22500,5400,373,145,15859,41933,/skins/generated/neon-mecha.png,Win the ranked ladder with a mythic blade,neon-mecha,ronin,cyberpunk-premium
cr_002,Chrome Oni Breakout,history,Meta,Soft Launch SEA,9000,430000,14800,3300,245,95,10939,28922,/skins/generated/neon-mecha.png,Limited chrome armor for top guilds,neon-mecha,ronin,cyberpunk-premium
cr_003,Neon Mecha Victory Pose,history,Meta,Soft Launch SEA,6800,310000,9800,2240,163,63,8104,21428,/skins/generated/neon-mecha.png,Show the lobby who owns the season,neon-mecha,ronin,cyberpunk-premium
cr_004,Ronin Overclock Teaser,history,Google UAC,Soft Launch SEA,8200,360000,12000,2700,192,75,9579,25328,/skins/generated/neon-mecha.png,Overclock your ronin before ranked resets,neon-mecha,ronin,cyberpunk-premium
cr_005,Ronin Prime Reforge,holdout,TikTok,Holdout Creative Batch,12500,580000,19800,4800,335,130,14308,37830,/skins/generated/neon-mecha.png,A ranked-only armor line for guild captains,neon-mecha,ronin,cyberpunk-premium
cr_006,Chrome Oni Redline,holdout,Meta,Holdout Creative Batch,8600,400000,13200,3050,228,89,10554,27905,/skins/generated/neon-mecha.png,Redline chrome armor for the ladder grind,neon-mecha,ronin,cyberpunk-premium
cr_007,Celestial Dragon Oracle,history,Google UAC,Mythic Expansion,10500,520000,17100,3900,260,93,11794,28610,/skins/generated/celestial-dragon.png,Unlock the prophecy set before the raid,celestial-dragon,oracle,mythic-luxury
cr_008,Jade Starfall Oracle,history,TikTok,Mythic Expansion,7200,350000,11600,2700,176,63,7932,19241,/skins/generated/celestial-dragon.png,A dragon-marked support skin for ranked squads,celestial-dragon,oracle,mythic-luxury
cr_009,Astral Prophecy Set,history,Meta,Mythic Expansion,8800,420000,13800,3150,202,72,9504,23056,/skins/generated/celestial-dragon.png,Claim the prophecy armor for your guild,celestial-dragon,oracle,mythic-luxury
cr_010,Astral Dragon Oracle,holdout,Google UAC,Holdout Creative Batch,9400,430000,14000,3200,201,72,9949,24135,/skins/generated/celestial-dragon.png,The oracle returns with a dragon sigil,celestial-dragon,oracle,mythic-luxury
